name,ref
0d1n,https://github.com/CoolerVoid/0d1n
0trace,http://jon.oberheide.org/0trace/
3proxy,http://3proxy.ru/
3proxy-win32,http://3proxy.ru/
42zip,http://blog.fefe.de/?ts=b6cea88d
a2sv,https://github.com/hahwul/a2sv
abcd,https://github.com/MITRECND/abcd
abuse-ssl-bypass-waf,https://github.com/LandGrey/abuse-ssl-bypass-waf
acccheck,http://labs.portcullis.co.uk/tools/acccheck/
ace,http://ucsniff.sourceforge.net/ace.html
ace-voip,https://tools.kali.org/information-gathering/ace-voip
aclpwn,https://github.com/fox-it/aclpwn.py
activedirectoryenum,https://github.com/CasperGN/ActiveDirectoryEnumeration
adape-script,https://github.com/hausec/ADAPE-Script
adfind,https://github.com/sahakkhotsanyan/adfind
ad-ldap-enum,https://github.com/CroweCybersecurity/ad-ldap-enum
admid-pack,http://packetstormsecurity.com/files/10080/ADMid-pkg.tgz.html
adminpagefinder,http://packetstormsecurity.com/files/112855/Admin-Page-Finder-Script.html
aesfix,http://citp.princeton.edu/memory/code/
aeskeyfind,http://citp.princeton.edu/memory/code/
aespipe,http://loop-aes.sourceforge.net/aespipe/
aesshell,https://packetstormsecurity.com/files/132438/AESshell.7.html
afflib,https://github.com/sshock/AFFLIBv3
aflplusplus,https://aflplus.plus/
afpfs-ng,http://alexthepuffin.googlepages.com/
agafi,https://github.com/CoreSecurity/Agafi
against,http://nullsecurity.net/tools/cracker.html
aggroargs,https://github.com/tintinweb/aggroArgs
aiengine,https://bitbucket.org/camp0/aiengine/
aimage,http://www.afflib.org
aiodnsbrute,https://github.com/blark/aiodnsbrute
air,https://sourceforge.net/projects/air-imager/
Airbase-ng,https://tools.kali.org/wireless-attacks/airbase-ng
aircrack-ng,https://www.aircrack-ng.org
Aircrack-ng,https://tools.kali.org/wireless-attacks/aircrack-ng
Airdecap-ng and Airdecloak-ng,https://tools.kali.org/wireless-attacks/airdecap-ng-and-airdecloak-ng
Aireplay-ng,https://tools.kali.org/wireless-attacks/aireplay-ng
airflood,http://packetstormsecurity.com/files/51127/airflood.1.tar.gz.html
airgeddon,https://github.com/v1s1t0r1sh3r3/airgeddon
airgraph-ng,https://tools.kali.org/wireless-attacks/airgraph-ng
Airmon-ng,https://tools.kali.org/wireless-attacks/airmon-ng
Airodump-ng,https://tools.kali.org/wireless-attacks/airodump-ng
airodump-ng-oui-update,https://tools.kali.org/wireless-attacks/airodump-ng-oui-update
Airolib-ng,https://tools.kali.org/wireless-attacks/airolib-ng
airolib-ng,https://tools.kali.org/wireless-attacks/airolib-ng
airopy,https://github.com/Josue87/Airopy
airoscript,http://midnightresearch.com/projects/wicrawl/
airpwn,http://airpwn.sourceforge.net
Airserv-ng,https://tools.kali.org/wireless-attacks/airserv-ng
airserv-ng,https://tools.kali.org/wireless-attacks/airserv-ng
Airtun-ng,https://tools.kali.org/wireless-attacks/airtun-ng
ajpfuzzer,https://github.com/doyensec/ajpfuzzer
albatar,https://github.com/lanjelot/albatar
allthevhosts,http://labs.portcullis.co.uk/tools/finding-all-the-vhosts/
altdns,https://github.com/infosec-au/altdns
Amap,https://tools.kali.org/information-gathering/amap
amass,https://github.com/OWASP/Amass
amber,https://github.com/EgeBalci/Amber
amoco,https://github.com/bdcht/amoco
analyzemft,https://github.com/dkovar/analyzeMFT
analyzepesig,https://blog.didierstevens.com/my-software/#AnalyzePESig
androbugs,https://github.com/AndroBugs/AndroBugs_Framework
androguard,https://github.com/androguard/androguard
androick,https://github.com/Flo354/Androick
android-apktool,https://ibotpeaches.github.io/Apktool/
android-ndk,https://developer.android.com/sdk/ndk/index.html
androidpincrack,https://github.com/PentesterES/AndroidPINCrack
android-sdk,https://developer.android.com/studio/releases/sdk-tools.html
android-sdk,https://tools.kali.org/hardware-hacking/android-sdk
androidsniffer,http://packetstormsecurity.com/files/97464/Andr01d-Magic-Dumper.1.html
android-udev-rules,https://github.com/bbqlinux/android-udev-rules
androwarn,https://github.com/maaaaz/androwarn
angr,https://pypi.org/project/angr/#files
angr-management,https://pypi.org/project/angr-management/#files
angrop,https://github.com/salls/angrop
angr-py2,https://pypi.org/project/angr/#files
anontwi,http://anontwi.sourceforge.net/
antiransom,http://www.security-projects.com/?Anti_Ransom___Download
anti-xss,https://github.com/lewangbtcc/anti-XSS
apache-users,https://labs.portcullis.co.uk/downloads/
apache-users,https://tools.kali.org/web-applications/apache-users
apacket,https://github.com/Acey9/apacket
aphopper,http://aphopper.sourceforge.net/
apkid,https://github.com/rednaga/APKiD
apkstat,https://github.com/hexabin/APKStat
apkstudio,http://www.vaibhavpandey.com/apkstudio/
apktool,https://tools.kali.org/reverse-engineering/apktool
apnbf,http://www.c0decafe.de/
appmon,https://github.com/dpnishant/appmon
apt2,https://github.com/MooseDojo/apt2
APT2,https://tools.kali.org/information-gathering/apt2
apt2,https://tools.kali.org/information-gathering/apt2
aquatone,https://github.com/michenriksen/aquatone
arachni,https://www.arachni-scanner.com
Arachni,https://tools.kali.org/web-applications/arachni
aranea,https://github.com/TigerSecurity
archivebox,https://github.com/pirate/ArchiveBox
arduino,https://github.com/arduino/Arduino
Arduino,https://tools.kali.org/hardware-hacking/arduino
argon2,https://github.com/P-H-C/phc-winner-argon2
argus,http://qosient.com/argus/
argus-clients,http://qosient.com/argus/
arjun,https://github.com/s0md3v/Arjun
armitage,http://www.fastandeasyhacking.com/
Armitage,https://tools.kali.org/exploitation-tools/armitage
armor,https://github.com/tokyoneon/Armor
armscgen,https://github.com/alexpark07/ARMSCGen
arpalert,http://www.arpalert.org/
arpoison,http://www.arpoison.net
arpon,http://arpon.sourceforge.net/
arp-scan,https://github.com/royhills/arp-scan
arp-scan,https://tools.kali.org/information-gathering/arp-scan
arpstraw,https://github.com/he2ss/arpstraw
arptools,https://github.com/Lab-Zjt/ARPTools
arpwner,https://github.com/ntrippar/ARPwner
artillery,https://www.trustedsec.com/downloads/artillery/
artlas,https://github.com/mthbernardes/ARTLAS
arybo,https://github.com/quarkslab/arybo
