name,description,genre
0d1n,"Web security tool to make fuzzing at HTTP inputs, made in C with libCurl.",webapp
0trace,A hop enumeration tool.,scanner
3proxy,Tiny free proxy server.,proxy
3proxy-win32,Tiny free proxy server.,windows
42zip,Recursive Zip archive bomb.,dos
a2sv,Auto Scanning to SSL Vulnerability.,scanner
abcd,ActionScript ByteCode Disassembler.,disassembler
abuse-ssl-bypass-waf,Bypassing WAF by abusing SSL/TLS Ciphers.,webapp
acccheck,A password dictionary attack tool that targets windows authentication via the SMB protocol.,cracker
ace,Automated Corporate Enumerator. A simple yet powerful VoIP Corporate Directory enumeration tool that mimics the behavior of an IP Phone in order to download the name and extension entries that a given phone can display on its screen interface,voip
aclpwn,Active Directory ACL exploitation with BloodHound.,exploitation
activedirectoryenum,Enumerate AD through LDAP.,recon
ad-ldap-enum,An LDAP based Active Directory user and group enumeration tool.,recon
adape-script,Active Directory Assessment and Privilege Escalation Script.,windows
adfind,"Simple admin panel finder for php,js,cgi,asp and aspx admin panels.",webapp
admid-pack,ADM DNS spoofing tools - Uses a variety of active and passive methods to spoof DNS packets. Very powerful.,spoof
adminpagefinder,This python script looks for a large amount of possible administrative interfaces on a given site.,webapp
admsnmp,ADM SNMP audit scanner.,scanner
aesfix,A tool to find AES key in RAM.,cracker
aeskeyfind,A tool to find AES key in RAM.,cracker
aespipe,Reads data from stdin and outputs encrypted or decrypted results to stdout.,crypto
aesshell,A backconnect shell for Windows and Unix written in python and uses AES in CBC mode in conjunction with HMAC-SHA256 for secure transport.,backdoor
afflib,An extensible open format for the storage of disk images and related forensic information.,forensic
aflplusplus,American Fuzzing Lop fuzzer with community patches and additional features.,fuzzer
afpfs-ng,A client for the Apple Filing Protocol (AFP),networking
agafi,A gadget finder and a ROP-Chainer tool for x86 platforms.,windows
against,A very fast ssh attacking script which includes a multithreaded port scanning module (tcp connect) for discovering possible targets and a multithreaded brute-forcing module which attacks parallel all discovered hosts or given ip addresses from a list.,cracker
aggroargs,"Bruteforce commandline buffer overflows, linux, aggressive arguments.",exploitation
aiengine,A packet inspection engine with capabilities of learning without any human intervention.,networking
aimage,A program to create aff-images.,forensic
aiodnsbrute,Python 3 DNS asynchronous brute force utility.,recon
air,A GUI front-end to dd/dc3dd designed for easily creating forensic images.,forensic
aircrack-ng,Key cracker for the 802.11 WEP and WPA-PSK protocols,wireless
airflood,A modification of aireplay that allows for a DoS of the AP. This program fills the table of clients of the AP with random MACs doing impossible new connections. [Tool in Spanish],wireless
airgeddon,Multi-use bash script for Linux systems to audit wireless networks.,wireless
airopy,Get (wireless) clients and access points.,wireless
airoscript,A script to simplify the use of aircrack-ng tools.,wireless
airpwn,A tool for generic packet injection on an 802.11 network.,wireless
ajpfuzzer,A command-line fuzzer for the Apache JServ Protocol (ajp13).,fuzzer
albatar,A SQLi exploitation framework in Python.,webapp
allthevhosts,A vhost discovery tool that scrapes various web applications.,scanner
altdns,"Generates permutations, alterations and mutations of subdomains and then resolves them.",recon
amass,In-depth subdomain enumeration written in Go.,scanner
amber,Reflective PE packer.,binary
amoco,Yet another tool for analysing binaries.,binary
analyzemft,Parse the MFT file from an NTFS filesystem.,forensic
analyzepesig,Analyze digital signature of PE file.,windows
androbugs,An efficient Android vulnerability scanner that helps developers or hackers find potential security vulnerabilities in Android applications.,mobile
androguard,"Reverse engineering, Malware and goodware analysis of Android applications and more.",binary
androick,A python tool to help in forensics analysis on android.,mobile
android-apktool,A tool for reverse engineering Android apk files.,reversing
android-ndk,Android C/C++ developer kit,mobile
android-sdk,Google Android SDK,mobile
android-udev-rules,Android udev rules.,mobile
androidpincrack,Bruteforce the Android Passcode given the hash and salt.,mobile
androidsniffer,"A perl script that lets you search for 3rd party passwords, dump the call log, dump contacts, dump wireless configuration, and more.",mobile
androwarn,Yet another static code analyzer for malicious Android applications.,mobile
angr,The next-generation binary analysis platform from UC Santa Barbaras Seclab.,binary
angr-management,This is the GUI for angr.,binary
angr-py2,The next-generation binary analysis platform from UC Santa Barbaras Seclab.,binary
angrop,A rop gadget finder and chain builder.,exploitation
anontwi,A free software python client designed to navigate anonymously on social networks. It supports Identi.ca and Twitter.com.,social
anti-xss,A XSS vulnerability scanner.,webapp
antiransom,A tool capable of detect and stop attacks of Ransomware using honeypots.,windows
apache-users,This perl script will enumerate the usernames on a unix system that use the apache module UserDir.,scanner
apacket,Sniffer syn and backscatter packets.,networking
aphopper,A program that automatically hops between access points of different wireless networks.,wireless
apkid,"Android Application Identifier for Packers, Protectors, Obfuscators and Oddities.",mobile
apkstat,Automated Information Retrieval From APKs For Initial Analysis.,mobile
apkstudio,An IDE for decompiling/editing & then recompiling of android application binaries.,reversing
apnbf,A small python script designed for enumerating valid APNs (Access Point Name) on a GTP-C speaking device.,wireless
appmon,"A runtime security testing & profiling framework for native apps on macOS, iOS & android and it is built using Frida.",mobile
apt2,Automated penetration toolkit.,automation
aquatone,A Tool for Domain Flyovers.,recon
arachni,"A feature-full, modular, high-performance Ruby framework aimed towards helping penetration testers and administrators evaluate the security of web applications.",webapp
aranea,A fast and clean dns spoofing tool.,spoof
archivebox,"The open source self-hosted web archive. Takes browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more.",misc
arduino,Arduino prototyping platform SDK,hardware
argon2,A password-hashing function (reference C implementation),crypto
argus,Network monitoring tool with flow control.,networking
argus-clients,Network monitoring client for Argus.,networking
arjun,HTTP parameter discovery suite.,webapp
armitage,A graphical cyber attack management tool for Metasploit.,exploitation
armor,A simple Bash script designed to create encrypted macOS payloads capable of evading antivirus scanners.,exploitation
armscgen,ARM Shellcode Generator (Mostly Thumb Mode).,exploitation
arp-scan,A tool that uses ARP to discover and fingerprint IP hosts on the local network,networking
arpalert,Monitor ARP changes in ethernet networks.,networking
arpoison,The UNIX arp cache update utility,exploitation
arpon,"A portable handler daemon that make ARP protocol secure in order to avoid the Man In The Middle (MITM) attack through ARP Spoofing, ARP Cache Poisoning or ARP Poison Routing (APR) attacks.",defensive
arpstraw,Arp spoof detection tool.,defensive
arptools,"A simple tool about ARP broadcast, ARP attack, and data transmission.",networking
arpwner,GUI-based python tool for arp poisoning and dns poisoning attacks.,networking
artillery,"A combination of a honeypot, file-system monitoring, system hardening, and overall health of a server to create a comprehensive way to secure a system.",defensive
artlas,Apache Real Time Logs Analyzer System.,defensive
arybo,"Manipulation, canonicalization and identification of mixed boolean-arithmetic symbolic expressions.",misc
asleap,Actively recover LEAP/PPTP passwords.,cracker
asp-audit,An ASP fingerprinting tool and vulnerability scanner.,fingerprint
assetfinder,Find domains and subdomains potentially related to a given domain.,scanner
astra,Automated Security Testing For REST API's.,webapp
atear,"Wireless Hacking, WiFi Security, Vulnerability Analyzer, Pentestration.",wireless
atftp,"Client/server implementation of the TFTP protocol that implements RFCs 1350, 2090, 2347, 2348, and 2349",networking
athena-ssl-scanner,A SSL cipher scanner that checks all cipher codes. It can identify about 150 different ciphers.,scanner
atlas,Open source tool that can suggest sqlmap tampers to bypass WAF/IDS/IPS.,webapp
atscan,"Server, Site and Dork Scanner.",scanner
atstaketools,"This is an archive of various @Stake tools that help perform vulnerability scanning and analysis, information gathering, password auditing, and forensics.",windows
attacksurfacemapper,Tool that aims to automate the reconnaissance process.,recon
attk,Trend Micro Anti-Threat Toolkit.,scanner
aurebeshjs,Translate JavaScript to Other Alphabets.,misc
auto-eap,Automated Brute-Force Login Attacks Against EAP Networks.,wireless
auto-xor-decryptor,Automatic XOR decryptor tool.,crypto
automato,Should help with automating some of the user-focused enumeration tasks during an internal penetration test.,automation
autonessus,This script communicates with the Nessus API in an attempt to help with automating scans.,automation
autonse,Massive NSE (Nmap Scripting Engine) AutoSploit and AutoScanner.,automation
autopsy,The forensic browser. A GUI for the Sleuth Kit.,forensic
autopwn,Specify targets and run sets of tools against them.,automation
