ProgramID,Name,Description,Tag
1,0d1n,"Web security tool to make fuzzing at HTTP inputs, made in C with libCurl.",web-app
2,0trace,A hop enumeration tool.,scanner
3,3proxy,Tiny free proxy server.,proxy
4,3proxy-win32,Tiny free proxy server.,windows
5,42zip,Recursive Zip archive bomb.,dos
6,a2sv,Auto Scanning to SSL Vulnerability.,scanner
7,abcd,ActionScript ByteCode Disassembler.,disassembler
8,abuse-ssl-bypass-waf,Bypassing WAF by abusing SSL/TLS Ciphers.,web-app
9,acccheck,A password dictionary attack tool that targets windows authentication via the SMB protocol.,cracker
10,Accesschk,"Used to check permissions on a windows machine, part of the sysinternals package",windows
11,ace,Automated Corporate Enumerator. A simple yet powerful VoIP Corporate Directory enumeration tool that mimics the behavior of an IP Phone in order to download the name and extension entries that a given phone can display on its screen interface,voip
12,ace-voip,ACE (Automated Corporate Enumerator) is a simple yet powerful VoIP Corporate Directory enumeration tool that mimics the behavior of an IP Phone in order to download the name and extension entries that a given phone can display on its screen interface.,recon
13,aclpwn,Active Directory ACL exploitation with BloodHound.,exploitation
14,activedirectoryenum,Enumerate AD through LDAP.,recon
15,adape-script,Active Directory Assessment and Privilege Escalation Script.,windows
16,addcomputer.py,Allows to add a computer to a domain using LDAP or SAMR (SMB).,exploitation
17,adfind,"Simple admin panel finder for php,js,cgi,asp and aspx admin panels.",web-app
18,ad-ldap-enum,An LDAP based Active Directory user and group enumeration tool.,recon
19,admid-pack,ADM DNS spoofing tools - Uses a variety of active and passive methods to spoof DNS packets. Very powerful.,spoof
20,adminpagefinder,This python script looks for a large amount of possible administrative interfaces on a given site.,web-app
21,admsnmp,ADM SNMP audit scanner.,scanner
22,aesfix,A tool to find AES key in RAM.,cracker
23,aeskeyfind,A tool to find AES key in RAM.,cracker
24,aespipe,Reads data from stdin and outputs encrypted or decrypted results to stdout.,crypto
25,aesshell,A backconnect shell for Windows and Unix written in python and uses AES in CBC mode in conjunction with HMAC-SHA256 for secure transport.,backdoor
26,afflib,An extensible open format for the storage of disk images and related forensic information.,forensics
27,aflplusplus,American Fuzzing Lop fuzzer with community patches and additional features.,fuzzer
28,afpfs-ng,A client for the Apple Filing Protocol (AFP),networking
29,agafi,A gadget finder and a ROP-Chainer tool for x86 platforms.,windows
30,against,A very fast ssh attacking script which includes a multithreaded port scanning module (tcp connect) for discovering possible targets and a multithreaded brute-forcing module which attacks parallel all discovered hosts or given ip addresses from a list.,cracker
31,aggroargs,"Bruteforce commandline buffer overflows, linux, aggressive arguments.",exploitation
32,aiengine,A packet inspection engine with capabilities of learning without any human intervention.,networking
33,aimage,A program to create aff-images.,forensics
34,aiodnsbrute,Python 3 DNS asynchronous brute force utility.,recon
