CmdID,Tag
2,Linux
2,Bash
2,Text Manipulation
3,Linux
3,Bash
3,Text Manipulation
4,Linux
4,Bash
4,Text Manipulation
5,Linux
5,Bash
5,Text Manipulation
6,Linux
6,Bash
6,Text Manipulation
7,Cisco
8,Cisco
8,Networking
9,Bash
9,Linux
10,Linux
10,Bash
11,Linux
11,Bash
11,Loop
12,Linux
12,Bash
13,Linux
14,Linux
14,Bash
15,Linux
15,Bash
15,Networking
15,Pivoting
16,Linux
16,Bash
16,Networking
16,Pivoting
17,Linux
17,Files
17,Bash
18,Linux
18,Bash
18,Passwords
18,Enumeration
18,User Information
19,Linux
19,Loop
19,Bash
19,Interesting
20,Linux
21,Linux
21,Bash
21,Networking
22,Linux
22,Bash
22,Networking
22,Scanning
23,Linux
23,Bash
23,Networking
23,Scanning
24,Linux
24,Bash
24,Networking
25,Linux
25,Bash
25,Networking
26,Linux
26,Bash
26,Enumeration
26,Networking
27,Linux
27,Bash
27,Networking
27,Scanning
28,Linux
28,Bash
28,Networking
29,Linux
29,Bash
29,Networking
30,Linux
30,Bash
30,Networking
30,Interesting
31,Networking
31,Hp
32,Linux
32,Bash
33,Linux
33,Brute Force
33,Http
34,Linux
34,Bash
35,Web App
35,Xss
35,Cookies
36,Metasploit
37,Networking
37,Scanning
38,Networking
38,Scanning
39,Networking
39,Scanning
40,Networking
40,Scanning
41,Networking
41,Scanning
42,Networking
42,Scanning
43,Linux
43,Bash
43,Certificates
44,Linux
44,Bash
44,Certificates
45,Linux
45,Bash
45,Certificates
46,Linux
46,Bash
46,Networking
46,Stealth
47,Linux
47,Bash
47,Networking
49,Web App
49,Scanning
50,Linux
50,Bash
50,Web App
51,Linux
51,Bash
51,Web App
52,Linux
52,Smb
52,Bash
53,Linux
53,Bash
53,Brute Force
53,Scanning
54,Linux
54,Networking
54,Mitm
55,Linux
55,Networking
55,Scanning
55,Dns
56,Linux
56,Bash
56,Interesting
57,Linux
57,Bash
57,Package Management
58,Linux
58,Bash
58,Text Manipulation
59,Linux
59,Bash
59,Text Manipulation
60,Linux
60,Bash
60,Text Manipulation
61,Linux
61,Bash
61,Text Manipulation
62,Linux
62,Bash
62,Reverse Shell
63,Linux
63,Windows
63,Reverse Shell
63,Perl
64,Linux
64,Windows
64,Reverse Shell
64,Python
65,Linux
65,Windows
65,Reverse Shell
65,Php
66,Linux
66,Windows
66,Reverse Shell
66,Ruby
67,Linux
67,Windows
67,Reverse Shell
68,Web App
68,Sql Injection
68,Mysql
69,Web App
69,Sql Injection
69,Shell
69,Mysql
70,Web App
70,Sql Injection
70,Oracle
71,Web App
71,Sql Injection
71,Mysql
72,Web App
72,Sql Injection
72,Mysql
73,Files
73,Bash
73,Interesting
73,Text Manipulation
74,Windows
74,Enumeration
75,Windows
75,Enumeration
76,Enumeration
76,Windows
76,Users
77,Brute Force
77,Wireless
77,Wifi
78,Web App
78,Xss
79,Xss
79,Web App
80,Web App
80,Xss
81,Linux
81,Bash
81,Interesting
82,Linux
82,Bash
82,Interesting
83,Linux
83,Wireless
83,Wifi
83,Configuration
84,Enumeration
84,Wireless
84,Wifi
85,Linux
85,Networking
85,Wireless
85,Wifi
86,Windows
86,Networking
86,Scanning
87,Bash
87,Interesting
87,Web App
87,Text Manipulation
88,Web App
88,Xss
89,Metasploit
89,Av Evasion
90,Windows
91,Windows
91,Enumeration
92,Windows
92,Powershell
93,Windows
93,Powershell
94,Loop
94,Smb
94,Bash
94,Linux
94,Enumeration
95,Windows
95,Passwords
95,Av Evasion
95,Powershell
96,Windows
96,Memory
97,Linux
98,Loop
98,Smb
98,Enumeration
98,User Information
98,Impacket
99,Windows
99,Enumeration
99,Powershell
99,User Information
100,Windows
100,Dns
100,Enumeration
101,Linux
101,Files
101,Smb
101,Filesystem
102,Linux
102,Smb
102,Enumeration
103,Loop
103,Networking
103,Enumeration
103,Impacket
104,Linux
104,Loop
104,Enumeration
104,User Information
104,Impacket
105,Linux
105,Loop
105,Bash
105,Interesting
105,Text Manipulation
105,User Information
106,Linux
106,Mysql
107,Linux
107,Mysql
107,Impacket
108,Windows
108,Passwords
108,Enumeration
108,Iis
109,Windows
109,Enumeration
110,Windows
110,Networking
111,Windows
111,Networking
111,Pivoting
112,Windows
112,Networking
112,Pivoting
113,Windows
113,Enumeration
114,Windows
114,Enumeration
115,Windows
115,Enumeration
115,Process Management
115,Privilege Escalation
116,Windows
116,Process Management
117,Windows
117,Networking
117,Enumeration
118,Windows
118,Files
118,Enumeration
119,Windows
120,Linux
120,Windows
120,Bash
121,Linux
121,Loop
121,Remote Command Shell
121,Impacket
122,Linux
122,Remote Command Shell
122,Hash
122,Impacket
123,Linux
123,Smb
123,Enumeration
123,User Information
124,Linux
124,Bash
124,Certificates
125,Windows
